FMID,Season1_Start_Date,Season1_End_Date,Season1Time,Season2_Start_Date,Season2_End_Date,Season3_End_Date,Season3Time,Season4_Start_Date,Season4_End_Date,Season4Time
1001105,2014-07-07T04:00:00Z,2014-09-08T04:00:00Z,Mon: 6:00 PM-8:00 PM;,,,,,,,
1003055,,,,,,,,,,
1007258,2014-05-03T04:00:00Z,2014-10-11T04:00:00Z,Sat: 9:00 AM-2:00 PM;,,,,,,,
1002640,May to Sep,ber,Sat:10:00 am - 6:00 pm;sun:10:00 am - 6:00 pm;,,,,,,,
1016848,2017-05-06T04:00:00Z,2017-10-28T04:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,
1008251,2014-05-03T04:00:00Z,2014-05-31T04:00:00Z,Sat: 10:00 AM-2:00 PM;,2014-06-03T04:00:00Z,,2014-12-20T05:00:00Z,Sat: 10:00 AM-2:00 PM;,,,
1008727,2014-04-18T04:00:00Z,2014-10-26T04:00:00Z,Fri: 11:00 AM-6:00 PM;Sat: 9:00 AM-5:00 PM;Sun: 12:00 PM-4:00 PM;,,,,,,,
1000971,,,,,,,,,,
1004991,2016-04-09T04:00:00Z,2016-11-19T05:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1002089,,,,,,,,,,
1003516,2015-05-20T04:00:00Z,2015-09-02T04:00:00Z,Wed: 3:00 PM-8:00 PM;,2015-09-09T04:00:00Z,2015-10-14T04:00:00Z,,,,,
1007647,0201-05-01T05:00:00Z,o October 3,Tue:2:30 PM - 6:30 PM;,,,,,,,
1012040,2016-06-18T04:00:00Z,2016-10-08T04:00:00Z,Sat: 10:00 AM-2:00 PM;,,,,,,,
1000287,,,,,,,,,,
1006378,2016-06-11T04:00:00Z,2016-09-24T04:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1010280,2014-01-01T05:00:00Z,2014-12-31T05:00:00Z,Mon: 9:00 AM-5:30 PM;Tue: 9:00 AM-5:30 PM;Wed: 9:00 AM-5:30 PM;Thu: 9:00 AM-5:30 PM;Fri: 9:00 AM-5:30 PM;Sat: 9:00 AM-4:00 PM;Sun: 11:00 AM-3:00 PM;,,,,,,,
1006268,June to Oc,er,Fri:5:00 PM - 8:00 PM;,,,,,,,
1010223,2014-01-01T05:00:00Z,2014-12-31T05:00:00Z,Wed: 7:00 AM-3:00 PM;Sat: 7:00 AM-3:00 PM;,2014-06-01T04:00:00Z,2014-10-01T04:00:00Z,2014-12-01T05:00:00Z,Wed: 7:00 AM-3:00 PM;Sat: 7:00 AM-3:00 PM;,,,
1010380,2015-06-23T04:00:00Z,2015-09-22T04:00:00Z,Tue: 10:00 AM-2:00 PM;,,,,,,,
1001782,,,,,,,,,,
1012588,,,Thu: 8:00 AM-12:00 PM;,,,,,,,
1001142,2016-04-02T04:00:00Z,2016-12-24T05:00:00Z,Sat: 7:00 AM-12:00 PM;,2016-01-01T05:00:00Z,2016-12-18T05:00:00Z,,,,,
1004881,,,,,,,,,,
1001465,July to Oc,er,Thu:2:00 PM - 5:00 PM;,,,,,,,
1007646,July to Oc,er,Tue:2:00 PM - 5:30 PM;Sat:7:00 AM - 12:00 PM;,June to Ju,,,,,,
1007636,,,,,,,,,,
1000306,May to Aug,,Wed:2:00 PM - 6:00 PM;,,,,,,,
1000405,June to No,ber,Wed:7:00 AM - 1:00 PM;Sat:7:00 AM - 1:00 PM;,,,,,,,
1011248,2015-05-30T04:00:00Z,2015-11-28T05:00:00Z,Sat: 9:00 AM-12:00 PM;,,,,,,,
1012651,2016-10-02T04:00:00Z,2017-05-28T04:00:00Z,Sun: 9:00 AM-1:00 PM;,,,,,,,
1000434,2013-06-01T04:00:00Z,2013-10-01T04:00:00Z,Sat: 7:30 AM-9:30 AM;,,,,,,,
1004557,2015-06-06T04:00:00Z,2015-10-03T04:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,
1011109,2015-04-18T04:00:00Z,2015-10-17T04:00:00Z,Sat: 8:30 AM-12:30 PM;,,,,,,,
1011158,2016-05-18T04:00:00Z,2016-10-12T04:00:00Z,Wed: 10:00 AM-2:00 PM;,,,,,,,
1005207,June to Oc,er,,May to May,,,,,,
1000683,June to Se,mber,Mon:9:00 AM - 5:30 PM;Tue:9:00 AM - 5:30 PM;Wed:9:00 AM - 5:30 PM;Thu:9:00 AM - 5:30 PM;Fri:9:00 AM - 5:30 PM;Sat:9:00 AM - 5:30 PM;,,,,,,,
1000685,January to,cember,Mon:9:00 AM - 6:00 PM;Tue:9:00 AM - 6:00 PM;Wed:9:00 AM - 6:00 PM;Thu:9:00 AM - 6:00 PM;Fri:9:00 AM - 6:00 PM;Sat:9:00 AM - 6:00 PM;sun:9:00 AM - 4:00 PM;,,,,,,,
1006889,,,,,,,,,,
1018356,2017-06-14T04:00:00Z,2017-08-30T04:00:00Z,Wed: 8:00 AM-12:00 PM;,2017-09-06T04:00:00Z,2017-10-11T04:00:00Z,,,,,
1000431,2016-06-18T04:00:00Z,2016-10-29T04:00:00Z,Sat: 8:00 AM-12:30 PM;,,,,,,,
1009687,2014-01-01T05:00:00Z,2014-12-31T05:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,
1001738,2015-01-01T05:00:00Z,2015-12-31T05:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1010986,2015-05-20T04:00:00Z,2015-10-28T04:00:00Z,Wed: 2:00 PM-6:00 PM;,,,,,,,
1008482,,,,,,,,,,
1001764,June to Oc,er,Sat:9:00 AM - 1:00 PM;,,,,,,,
1000558,2013-05-25T04:00:00Z,2013-10-26T04:00:00Z,Sat: 7:00 AM-12:00 PM;,,,,,,,
1012474,2016-06-03T04:00:00Z,2016-10-28T04:00:00Z,Fri: 2:00 PM-5:00 PM;,,,,,,,
1012410,2016-05-04T04:00:00Z,2016-11-30T05:00:00Z,Wed: 12:00 PM-2:00 PM;,,,,,,,
1012375,2016-05-31T04:00:00Z,2016-10-25T04:00:00Z,Tue: 3:00 PM-6:00 PM;,,,,,,,
1012453,2016-06-02T04:00:00Z,2016-10-27T04:00:00Z,Thu: 3:00 PM-6:00 PM;,,,,,,,
1012422,2016-05-05T04:00:00Z,2016-11-17T05:00:00Z,Thu: 10:00 AM-12:00 PM;,,,,,,,
1012455,2016-05-06T04:00:00Z,2016-11-25T05:00:00Z,Fri: 10:00 AM-12:00 PM;,,,,,,,
1012477,2016-05-06T04:00:00Z,2016-11-25T05:00:00Z,Fri: 3:00 PM-6:00 PM;,,,,,,,
1012413,2016-06-01T04:00:00Z,2016-10-26T04:00:00Z,Wed: 3:00 PM-6:00 PM;,,,,,,,
